,line_number,line,isLOI,is_keyword,length,is_regular_expression,is_mathematical_calculation,is_collection_manipulation,is_string_manipulation,is_bit_manipulation,is_variable_assignment
37,7,"x1, y1 = points[i]",0,0,18,0,0,0,0,0,0
38,8,"for j in range(i + 1, N):",0,1,25,0,1,0,0,0,0
39,9,"x2, y2 = points[j]",0,0,18,0,0,0,0,0,0
40,10,dist = abs(x1 - x2) + abs(y1 - y2),1,0,34,0,1,0,0,0,1
41,12,"adj[i].append([dist, j])",0,0,24,0,0,1,0,0,0
42,13,"adj[j].append([dist, i])",0,0,24,0,0,1,0,0,0
43,16,res = 0,1,0,7,0,0,0,0,0,1
44,17,visit = set(),1,0,13,0,0,0,0,0,1
45,18,"minH = [[0, 0]]  ",0,0,17,0,0,0,0,0,0
46,19,while len(visit) < N:,0,1,21,0,0,0,0,0,0
47,20,"cost, i = heapq.heappop(minH)",0,0,29,0,0,1,0,0,0
48,21,if i in visit:,0,1,14,0,0,0,0,0,0
49,22,continue,0,1,8,0,0,0,0,0,0
50,23,res += cost,1,0,11,0,1,0,0,0,1
51,24,visit.add(i),0,0,12,0,0,0,0,0,0
52,25,"for neiCost, nei in adj[i]:",0,1,27,0,0,0,0,0,0
53,26,if nei not in visit:,0,1,20,0,0,0,0,0,0
54,28,"        return res
",0,1,19,0,0,0,0,0,0
55,0,from inline import Here,0,1,23,0,0,0,0,0,0
56,1,from typing import List,0,1,23,0,0,0,0,0,0
57,3,"def maxArea(self, height: List[int]) -> int:",0,1,44,0,1,0,0,0,0
58,4,"l, r = 0, len(height) - 1",0,0,25,0,1,0,0,0,0
59,5,res = 0,1,0,7,0,0,0,0,0,1
60,6,while l < r:,0,1,12,0,0,0,0,0,0
61,7,"res = max(res, min(height[l], height[r]) * (r - l))",1,0,51,0,1,0,0,0,1
62,10,if height[l] < height[r]:,0,1,25,0,0,0,0,0,0
63,11,l += 1,1,0,6,0,1,0,0,0,1
64,12,elif height[r] <= height[l]:,0,1,28,0,0,0,0,0,0
65,14,"    return res
",0,1,15,0,0,0,0,0,0
66,2,from inline import Here,0,1,23,0,0,0,0,0,0
67,4,class Solution(object):,0,1,23,0,0,0,0,0,0
68,5,"def rotate(self, matrix):",0,1,25,0,0,0,0,0,0
69,6,"""""""",0,0,3,0,0,0,0,0,0
70,7,:type matrix: List[List[int]],0,0,29,0,0,0,0,0,0
71,8,":rtype: void Do not return anything, modify matrix in-place instead.",0,1,68,0,1,0,0,0,0
72,9,"""""""",0,0,3,0,0,0,0,0,0
73,11,if matrix is None or len(matrix) == 1:,1,1,38,0,0,0,0,0,0
74,13,return,0,1,6,0,0,0,0,0,0
75,14,ls = len(matrix),1,0,16,0,0,0,0,0,1
76,15,for i in range(ls / 2):,0,1,23,0,1,0,0,0,0
77,17,"begin, end = i, ls - 1 - i",0,0,26,0,1,0,0,0,0
78,18,for k in range(ls - 2 * i - 1):,0,1,31,0,1,0,0,0,0
79,19,temp = matrix[end - k][begin],1,0,29,0,1,0,0,0,1
80,20,matrix[end - k][begin] = matrix[end][end - k],0,0,45,0,1,0,0,0,0
81,21,matrix[end][end - k] = matrix[begin + k][end],0,0,45,0,1,0,0,0,0
82,22,matrix[begin + k][end] = matrix[begin][begin + k],0,0,49,0,1,0,0,0,0
83,23,matrix[begin][begin + k] = temp,0,0,31,0,1,0,0,0,0
84,24,return,0,1,6,0,0,0,0,0,0
85,26,if __name__ == '__main__':,0,1,26,0,0,0,0,0,0
86,28,s = Solution(),1,0,14,0,0,0,0,0,1
87,29,"s.rotate([[1,2,3,4],[5,6,7,8],[9,10,11,12],[13,14,15,16]])",0,0,58,0,0,0,0,0,0
88,32,"
",0,0,1,0,0,0,0,0,0
89,0,from typing import List,0,1,23,0,0,0,0,0,0
90,1,from inline import Here,0,1,23,0,0,0,0,0,0
91,2,import math,0,1,11,0,0,0,0,0,0
92,4,"def minEatingSpeed(self, piles: List[int], h: int) -> int:",0,1,58,0,1,0,0,0,0
93,5,"l, r = 1, max(piles)",0,0,20,0,0,0,0,0,0
94,6,res = max(piles),1,0,16,0,0,0,0,0,1
95,7,while l <= r:,0,1,13,0,0,0,0,0,0
96,8,k = (l + r) // 2,0,0,16,0,1,0,0,0,0
97,9,totalTime = 0,1,0,13,0,0,0,0,0,1
98,10,for p in piles:,0,1,15,0,0,0,0,0,0
99,11,totalTime += math.ceil(p / k),1,0,29,0,1,0,0,0,1
100,14,if totalTime <= h:,0,1,18,0,0,0,0,0,0
101,15,"res = min(res, k)",1,0,17,0,0,0,0,0,1
102,16,r = k - 1,1,0,9,0,1,0,0,0,1
103,17,else:,0,1,5,0,0,0,0,0,0
104,19,"    return res
",0,1,15,0,0,0,0,0,0
105,0,from inline import Here,0,1,23,0,0,0,0,0,0
106,1,from typing import List,0,1,23,0,0,0,0,0,0
107,3,"def search(self, nums: List[int], target: int) -> int:",0,1,54,0,1,0,0,0,0
108,4,"l, r = 0, len(nums) - 1",0,0,23,0,1,0,0,0,0
109,6,while l <= r:,0,1,13,0,0,0,0,0,0
110,7,m = l + ((r - l) // 2),1,0,22,0,1,0,0,0,1
111,10,if nums[m] > target:,0,1,20,0,0,0,0,0,0
112,11,r = m - 1,1,0,9,0,1,0,0,0,1
113,12,elif nums[m] < target:,0,1,22,0,0,0,0,0,0
114,13,l = m + 1,1,0,9,0,1,0,0,0,1
115,14,else:,0,1,5,0,0,0,0,0,0
116,16,"    return -1
",0,1,14,0,1,0,0,0,0
117,2,import math,0,1,11,0,0,0,0,0,0
118,3,from inline import Here,0,1,23,0,0,0,0,0,0
119,5,MAX_INT = 50,1,0,12,0,0,0,0,0,1
120,7,class Solution(object):,0,1,23,0,0,0,0,0,0
121,8,"def divide(self, dividend, divisor):",0,1,36,0,0,0,0,0,0
122,9,if divisor == 0:,0,1,16,0,0,0,0,0,0
123,10,return MAX_INT,0,1,14,0,0,0,0,0,0
124,11,if dividend == 0:,0,1,17,0,0,0,0,0,0
125,12,return 0,0,1,8,0,0,0,0,0,0
126,13,isPositive = (dividend < 0) == (divisor < 0),0,0,44,0,0,0,0,0,0
127,14,print(isPositive),1,0,17,0,0,0,0,0,0
128,17,m = abs(dividend),1,0,17,0,0,0,0,0,1
129,18,n = abs(divisor),1,0,16,0,0,0,0,0,1
130,20,res = math.log(m) - math.log(n),1,0,31,0,1,0,0,0,1
131,21,res = int(math.exp(res)),1,0,24,0,1,0,0,0,1
132,22,if isPositive:,0,1,14,0,0,0,0,0,0
133,23,"return min(res, 2147483647)",0,1,27,0,0,0,0,0,0
134,24,"return max(0 - res, -2147483648)",0,1,32,0,1,0,0,0,0
135,26,"Solution.divide(""s"", 5, 3)",0,0,26,0,0,0,0,0,0
136,0,import re,0,1,9,0,0,0,0,0,0
137,1,from inline import Here,0,1,23,0,0,0,0,0,0
138,4,"text = ""This is filler text.""",0,0,29,0,0,0,0,0,0
139,5,"matches = re.findall(r'\b\w{3}\b' , text)",1,0,41,1,0,0,0,0,1
140,9,"example_list_from_file = ['const button = (""",0,1,44,0,0,0,0,0,0
141,10,"'const icon = (""",0,0,16,0,0,0,0,0,0
142,11,"'const audio = (""audio"");']",0,0,27,0,0,0,0,0,0
143,12,str_output = [],0,0,15,0,0,0,0,0,0
144,13,for i in range(len(example_list_from_file)):,0,1,44,0,0,0,0,0,0
145,14,"str_output.append(re.sub(r'(?is)=.\(', '= document.querySelector(', example_list_from_file[i]))",0,1,95,1,0,1,0,0,0
146,18,pattern = '',0,0,12,0,0,0,0,0,0
147,19,matched = [],0,0,12,0,0,0,0,0,0
148,20,word_list = [],0,0,14,0,0,0,0,0,0
149,21,"matched = list(filter(re.compile(pattern).match, word_list))",1,0,60,1,0,0,0,0,1
150,26,"find = re.search(pattern, text)",1,0,31,1,0,0,0,0,1
151,30,"result = re.split(pattern, text, 1)
",0,0,36,1,0,0,0,0,1
152,0,from inline import Here,0,1,23,0,0,0,0,0,0
153,2,def logit_deformatter(string):,0,1,30,0,0,0,1,0,0
154,3,"r""""""",0,0,4,0,0,0,0,0,0
155,4,Parser to convert string as r'$\mathdefault{1.41\cdot10^{-4}}$' in,0,1,66,0,1,0,0,1,0
156,5,"float 1.41e-4, as '0.5' or as r'$\mathdefault{\frac{1}{2}}$' in float",0,1,69,0,1,0,0,0,0
157,6,"0.5,",0,0,4,0,0,0,0,0,0
158,7,"""""""",0,0,3,0,0,0,0,0,0
159,8,match = re.match(,1,0,17,1,0,0,0,0,1
160,9,"r""[^\d]*""",0,0,9,0,1,0,0,1,0
161,10,"r""(?P<comp>1[-\N{Minus Sign}])?""",0,0,32,0,1,0,0,0,0
162,11,"r""(?P<mant>\d*\.?\d*)?""",0,0,23,0,1,0,0,0,0
163,12,"r""(?:\\cdot)?""",0,0,14,0,0,0,0,0,0
164,13,"r""(?:10\^\{(?P<expo>[-\N{Minus Sign}]?\d*)})?""",0,0,46,0,1,0,0,1,0
165,14,"r""[^\d]*$"",",0,0,11,0,1,0,0,1,0
166,15,"string,",0,0,7,0,0,0,0,0,0
167,16,),1,0,1,0,0,0,0,0,0
168,18,if match:,0,1,9,0,0,0,0,0,0
169,19,"comp = match[""comp""] is not None",1,0,32,0,0,0,0,0,1
170,20,"mantissa = float(match[""mant""]) if match[""mant""] else 1",1,1,55,0,0,0,0,0,1
171,21,expo = (,0,0,8,0,0,0,0,0,0
172,22,"int(match[""expo""].replace(""\N{Minus Sign}"", ""-""))",0,0,49,0,1,0,1,0,0
173,23,"if match[""expo""] is not None",0,1,28,0,0,0,0,0,0
174,24,else 0,0,1,6,0,0,0,0,0,0
175,25,),0,0,1,0,0,0,0,0,0
176,26,value = mantissa * 10**expo,1,0,27,0,1,0,0,0,1
177,27,"if match[""mant""] or match[""expo""] is not None:",0,1,46,0,0,0,0,0,0
178,28,if comp:,0,1,8,0,0,0,0,0,0
179,29,return 1 - value,0,1,16,0,1,0,0,0,0
180,30,return value,0,1,12,0,0,0,0,0,0
181,31,"match = re.match(r""[^\d]*\\frac\{(?P<num>\d+)\}\{(?P<deno>\d+)\}[^\d]*$"", string)",1,0,81,1,1,0,0,1,1
182,33,if match:,0,1,9,0,0,0,0,0,0
183,34,"num, deno = float(match[""num""]), float(match[""deno""])",0,0,53,0,0,0,0,0,0
184,36,"    raise ValueError(""Not formatted by LogitFormatter"")
",0,1,56,0,0,0,1,0,0
185,0,import re,0,1,9,0,0,0,0,0,0
186,1,from inline import Here,0,1,23,0,0,0,0,0,0
187,4,"_curly_re = re.compile(r""(.*?)\{(.+?)\}(.*)"")",1,0,45,1,1,0,0,0,1
188,7,"def text_to_sequence(text, cleaner_names):",0,1,42,0,0,0,0,0,0
189,8,"""""""Converts a string of text to a sequence of IDs corresponding to the symbols in the text.",0,0,91,0,0,0,0,0,0
190,10,The text can optionally have ARPAbet sequences enclosed in curly braces embedded,0,0,80,0,0,0,0,0,0
191,11,"in it. For example, ""Turn left on {HH AW1 S S T AH0 N} Street.""",0,0,63,0,0,0,0,0,0
192,13,Args:,0,0,5,0,0,0,0,0,0
193,14,text: string to convert to a sequence,0,0,37,0,0,0,0,0,0
194,15,cleaner_names: names of the cleaner functions to run the text through,0,0,69,0,0,0,0,0,0
195,17,Returns:,0,0,8,0,0,0,0,0,0
196,18,List of integers corresponding to the symbols in the text,0,0,57,0,0,0,0,0,0
197,19,"""""""",0,0,3,0,0,0,0,0,0
198,20,sequence = [],0,0,13,0,0,0,0,0,0
199,23,while len(text):,0,1,16,0,0,0,0,0,0
200,24,m = _curly_re.match(text),1,0,25,1,0,0,0,0,1
201,26,if not m:,0,1,9,0,0,0,0,0,0
202,27,"sequence += _symbols_to_sequence(_clean_text(text, cleaner_names))",1,0,66,0,1,0,0,0,1
203,28,break,0,1,5,0,0,0,0,0,0
204,29,"sequence += _symbols_to_sequence(_clean_text(m.group(1), cleaner_names))",1,0,72,0,1,0,0,0,1
205,30,sequence += _arpabet_to_sequence(m.group(2)),1,0,44,0,1,0,0,0,1
206,31,text = m.group(3),1,0,17,0,0,0,0,0,1
207,35,"    return sequence
",0,1,20,0,0,0,0,0,0
208,0,from inline import Here,0,1,23,0,0,0,0,0,0
209,2,"def _tokenize(data: bytes, skip_ws: bool):",0,1,42,0,0,0,0,0,0
210,3,"""""""",0,0,3,0,0,0,0,0,0
211,4,A generator that produces _Token instances from Type-1 font code.,0,1,65,0,1,0,0,0,0
212,6,The consumer of the generator may send an integer to the tokenizer to,0,0,69,0,0,0,0,0,0
213,7,indicate that the next token should be _BinaryToken of the given length.,0,0,72,0,0,0,0,0,0
214,9,Parameters,0,0,10,0,0,0,0,0,0
215,10,----------,0,0,10,0,1,0,0,0,0
216,11,data : bytes,0,0,12,0,0,0,0,0,0
217,12,The data of the font to tokenize.,0,0,33,0,0,0,0,0,0
218,14,skip_ws : bool,0,0,14,0,0,0,0,0,0
219,15,"If true, the generator will drop any _WhitespaceTokens from the output.",0,1,71,0,0,0,0,0,0
220,16,"""""""",0,0,3,0,0,0,0,0,0
221,17,"text = data.decode('ascii', 'replace')",1,1,38,0,0,0,1,0,1
222,18,whitespace_or_comment_re = re.compile(r'[\0\t\r\f\n ]+|%[^\r\n]*'),1,0,66,1,1,0,0,1,1
223,19,"token_re = re.compile(r'/{0,2}[^]\0\t\r\f\n ()<>{}/%[]+')",1,0,57,1,1,0,0,1,1
224,20,instring_re = re.compile(r'[()\\]'),1,0,35,1,0,0,0,0,1
225,21,hex_re = re.compile(r'^<[0-9a-fA-F\0\t\r\f\n ]*>$'),1,0,51,1,1,0,0,1,1
226,22,"oct_re = re.compile(r'[0-7]{1,3}')",1,0,34,1,1,0,0,0,1
227,23,pos = 0,1,0,7,0,0,0,0,0,1
228,24,next_binary = None,1,0,18,0,0,0,0,0,1
229,26,while pos < len(text):,0,1,22,0,0,0,0,0,0
230,27,if next_binary is not None:,0,1,27,0,0,0,0,0,0
231,28,n = next_binary,1,0,15,0,0,0,0,0,1
232,29,"next_binary = (yield _BinaryToken(pos, data[pos:pos+n]))",0,1,56,0,1,0,0,0,0
233,30,pos += n,1,0,8,0,1,0,0,0,1
234,31,continue,0,1,8,0,0,0,0,0,0
235,32,"match = whitespace_or_comment_re.match(text, pos)",1,0,49,1,0,0,0,0,1
236,34,if match:,0,1,9,0,0,0,0,0,0
237,35,if not skip_ws:,0,1,15,0,0,0,0,0,0
238,36,"next_binary = (yield _WhitespaceToken(pos, match.group()))",0,1,58,0,0,0,0,0,0
239,37,pos = match.end(),1,0,17,0,0,0,0,0,1
240,38,elif text[pos] == '(':,0,1,22,0,0,0,0,0,0
241,44,start = pos,1,0,11,0,0,0,0,0,1
242,45,pos += 1,1,0,8,0,1,0,0,0,1
243,46,depth = 1,1,0,9,0,0,0,0,0,1
244,47,while depth:,0,1,12,0,0,0,0,0,0
245,48,"match = instring_re.search(text, pos)",1,0,37,1,0,0,0,0,1
246,49,if match is None:,0,1,17,0,0,0,0,0,0
247,50,raise ValueError(,0,1,17,0,0,0,0,0,0
248,51,f'Unterminated string starting at {start}'),0,0,43,0,0,0,0,0,0
249,52,pos = match.end(),1,0,17,0,0,0,0,0,1
250,53,if match.group() == '(':,0,1,24,0,0,0,0,0,0
251,54,depth += 1,1,0,10,0,1,0,0,0,1
252,55,elif match.group() == ')':,0,1,26,0,0,0,0,0,0
253,56,depth -= 1,1,0,10,0,1,0,0,0,1
254,57,else:  ,0,1,7,0,0,0,0,0,0
255,58,char = text[pos],1,0,16,0,0,0,0,0,1
256,59,if char in r'\()nrtbf':,0,1,23,0,0,0,0,0,0
257,60,pos += 1,1,0,8,0,1,0,0,0,1
258,61,else:,0,1,5,0,0,0,0,0,0
259,62,"octal = oct_re.match(text, pos)",1,0,31,1,0,0,0,0,1
260,63,if octal:,0,1,9,0,0,0,0,0,0
261,64,pos = octal.end(),1,0,17,0,0,0,0,0,1
262,65,else:,0,1,5,0,0,0,0,0,0
263,66,pass  ,0,1,6,0,0,0,0,0,0
264,67,"next_binary = (yield _StringToken(start, text[start:pos]))",0,1,58,0,0,0,0,0,0
265,68,"elif text[pos:pos + 2] in ('<<', '>>'):",0,1,39,0,1,0,0,1,0
266,69,"next_binary = (yield _DelimiterToken(pos, text[pos:pos + 2]))",0,1,61,0,1,0,0,0,0
267,70,pos += 2,1,0,8,0,1,0,0,0,1
268,71,elif text[pos] == '<':,0,1,22,0,0,0,0,0,0
269,72,start = pos,1,0,11,0,0,0,0,0,1
270,73,try:,0,1,4,0,0,0,0,0,0
271,74,"pos = text.index('>', pos) + 1",1,0,30,0,1,0,0,0,1
272,75,except ValueError as e:,0,1,23,0,0,0,0,0,0
273,76,raise ValueError(f'Unterminated hex string starting at {start}',0,1,63,0,0,0,0,0,0
274,77,) from e,0,1,8,0,0,0,0,0,0
275,78,if not hex_re.match(text[start:pos]):,0,1,37,1,0,0,0,0,0
276,79,raise ValueError(f'Malformed hex string starting at {start}'),0,1,61,0,0,0,0,0,0
277,80,"next_binary = (yield _StringToken(pos, text[start:pos]))",0,1,56,0,0,0,0,0,0
278,81,else:,0,1,5,0,0,0,0,0,0
279,82,"match = token_re.match(text, pos)",1,0,33,1,0,0,0,0,1
280,83,if match:,0,1,9,0,0,0,0,0,0
281,84,raw = match.group(),1,0,19,0,0,0,0,0,1
282,85,if raw.startswith('/'):,0,1,23,0,1,0,0,0,0
283,86,"next_binary = (yield _NameToken(pos, raw))",0,1,42,0,0,0,0,0,0
284,87,"elif match.group() in ('true', 'false'):",0,1,40,0,0,0,0,0,0
285,88,"next_binary = (yield _BooleanToken(pos, raw))",0,1,45,0,0,0,0,0,0
286,89,else:,0,1,5,0,0,0,0,0,0
287,90,try:,0,1,4,0,0,0,0,0,0
288,91,float(raw),0,0,10,0,0,0,0,0,0
289,92,"next_binary = (yield _NumberToken(pos, raw))",0,1,44,0,0,0,0,0,0
290,93,except ValueError:,0,1,18,0,0,0,0,0,0
291,94,"next_binary = (yield _KeywordToken(pos, raw))",0,1,45,0,0,0,0,0,0
292,95,pos = match.end(),1,0,17,0,0,0,0,0,1
293,96,else:,0,1,5,0,0,0,0,0,0
294,98,                pos += 1,0,0,24,0,1,0,0,0,0
295,0,import re,0,1,9,0,0,0,0,0,0
296,1,from inline import Here,0,1,23,0,0,0,0,0,0
297,4,"text = ""This is filler text.""",0,0,29,0,0,0,0,0,0
298,5,"matches = re.findall(r'\b\w{3}\b' , text)",1,0,41,1,0,0,0,0,1
299,9,"example_list_from_file = ['const button = (""",0,1,44,0,0,0,0,0,0
300,10,"'const icon = (""",0,0,16,0,0,0,0,0,0
301,11,"'const audio = (""audio"");']",0,0,27,0,0,0,0,0,0
302,12,str_output = [],0,0,15,0,0,0,0,0,0
303,13,for i in range(len(example_list_from_file)):,0,1,44,0,0,0,0,0,0
304,14,"str_output.append(re.sub(r'(?is)=.\(', '= document.querySelector(', example_list_from_file[i]))",0,1,95,1,0,1,0,0,0
305,18,pattern = '',0,0,12,0,0,0,0,0,0
306,19,matched = [],0,0,12,0,0,0,0,0,0
307,20,word_list = [],0,0,14,0,0,0,0,0,0
308,21,"matched = list(filter(re.compile(pattern).match, word_list))",1,0,60,1,0,0,0,0,1
309,23,"['aback',",0,0,9,0,0,0,0,0,0
310,24,"'abase',",0,1,8,0,0,0,0,0,0
311,25,"'abate',",0,0,8,0,0,0,0,0,0
312,26,"'abbot',",0,0,8,0,0,0,0,0,0
313,27,"'abhor',",0,0,8,0,0,0,0,0,0
314,28,"'abide',",0,0,8,0,0,0,0,0,0
315,29,"'abled',",0,0,8,0,0,0,0,0,0
316,30,"'abuse',",0,0,8,0,0,0,0,0,0
317,31,"'above']).check_eq(matched, ['abase', 'abate', 'abide', 'abuse', 'above'])",0,1,74,0,0,0,0,0,0
318,35,"find = re.search(pattern, text)",1,0,31,1,0,0,0,0,1
319,39,"result = re.split(pattern, text, 1)
",0,0,36,1,0,0,0,0,1
320,5,import sys,0,1,10,0,0,0,0,0,0
321,6,import re,0,1,9,0,0,0,0,0,0
322,7,import random,0,1,13,0,0,0,0,0,0
323,8,from inline import Here,0,1,23,0,0,0,0,0,0
324,15,input_list = sys.argv[1:],1,0,25,0,0,0,0,0,1
325,17,for iter in range(10):,0,1,22,0,0,0,0,0,0
326,18,"word = """"",0,0,9,0,0,0,0,0,0
327,19,"ans = """"",0,0,8,0,0,0,0,0,0
328,20,for n in range(5):,0,1,18,0,0,0,0,0,0
329,22,"ch = chr(97 + random.randint(0, 14))",1,0,36,0,1,0,0,0,1
330,23,word += ch,1,0,10,0,1,0,0,0,1
331,26,"if(not(ch in ('a', 'e', 'i', 'o', 'u'))):",0,1,41,0,0,0,0,0,0
332,27,ans += ch,1,0,9,0,1,0,0,0,1
333,29,"print(""remove_vowels(\"""" + word + ""\""):"")",0,0,41,0,1,1,0,0,0
334,30,"print(re.sub(""[aeiou]"", """", word) + ""\n"")",0,0,41,1,1,0,0,0,0
335,0,import re,0,1,9,0,0,0,0,0,0
336,1,from inline import Here,0,1,23,0,0,0,0,0,0
337,3,"text = ""This is a sentence with multiple words and numbers 1234567890.""",0,0,71,0,0,0,0,0,0
338,6,"result = re.findall(r""[a-zA-Z]"", text)",1,0,38,1,1,0,0,0,1
339,7,"print(""Letters: "", result)",0,0,26,0,0,0,0,0,0
340,9,"result = re.findall(r""\d"", text)",1,0,32,1,0,0,0,0,1
341,10,"print(""Digits: "", result)",0,0,25,0,0,0,0,0,0
342,13,"result = re.findall(r""\bs\w+"", text)",1,0,36,1,1,0,0,0,1
343,14,"print(""Words starting with 's': "", result)",0,0,42,0,0,0,0,0,0
344,17,"result = re.findall(r""\w+e\b"", text)",1,0,36,1,1,0,0,0,1
345,18,"print(""Words ending with 'e': "", result)",0,0,40,0,0,0,0,0,0
346,21,"result = re.findall(r""\b\w*o\w*\b"", text)",1,0,41,1,1,0,0,0,1
347,23,"print(""Words containing 'o': "", result)",0,0,39,0,0,0,0,0,0
348,26,"result = re.findall(r""\b\w{4}\b"", text)",1,0,39,1,0,0,0,0,1
349,27,"print(""Words of length 4: "", result)",0,0,36,0,0,0,0,0,0
350,30,"result = re.sub(r""\s"", ""-"", text)",1,0,33,1,1,0,0,0,1
351,31,"print(""Text with whitespaces replaced: "", result)",0,0,49,0,0,0,1,0,0
352,34,"result = re.sub(r""is"", ""was"", text)",1,1,35,1,0,0,0,0,1
353,35,"print(""Text with 'is' replaced: "", result)",0,0,42,0,0,0,1,0,0
354,39,"print(""Text split by whitespace: "", result)
",0,0,44,0,0,0,0,0,0
355,0,from inline import Here,0,1,23,0,0,0,0,0,0
356,2,"def get_package_details(self, package):",0,1,39,0,0,0,0,0,0
357,4,raw_pkg_details = {},0,0,20,0,0,0,0,0,0
358,5,last_detail = None,1,1,18,0,0,0,0,0,1
359,6,for line in package.splitlines():,0,1,33,0,0,0,0,0,0
360,7,"m = re.match(r""([\w ]*[\w]) +: (.*)"", line)",1,0,43,1,1,0,0,0,1
361,9,if m:,0,1,5,0,0,0,0,0,0
362,10,last_detail = m.group(1),1,1,24,0,0,0,0,0,1
363,11,raw_pkg_details[last_detail] = m.group(2),0,1,41,0,0,0,0,0,0
364,12,else:,0,1,5,0,0,0,0,0,0
365,14,raw_pkg_details[last_detail] = (,0,1,32,0,0,0,0,0,0
366,15,"raw_pkg_details[last_detail] + ""  "" + line.lstrip()",0,1,51,0,1,0,0,0,0
367,16,),0,0,1,0,0,0,0,0,0
368,18,provides = None,1,0,15,0,0,0,0,0,1
369,19,"if raw_pkg_details[""Provides""] != ""None"":",0,1,41,0,0,0,0,0,0
370,20,"provides = [p.split(""="")[0] for p in raw_pkg_details[""Provides""].split(""  "")]",0,1,77,0,0,0,0,0,0
371,22,return {,0,1,8,0,0,0,0,0,0
372,23,"""name"": raw_pkg_details[""Name""],",0,0,32,0,0,0,0,0,0
373,24,"""version"": raw_pkg_details[""Version""],",0,0,38,0,0,0,0,0,0
374,25,"""arch"": raw_pkg_details[""Architecture""],",0,0,40,0,0,0,0,0,0
375,27,"    }
",0,0,6,0,0,0,0,0,0
376,0,import re,0,1,9,0,0,0,0,0,0
377,1,from inline import Here,0,1,23,0,0,0,0,0,0
378,4,"text = ""This is filler text.""",0,0,29,0,0,0,0,0,0
379,5,"matches = re.findall(r'\b\w{3}\b' , text)",1,0,41,1,0,0,0,0,1
380,9,"example_list_from_file = ['const button = (""",0,1,44,0,0,0,0,0,0
381,10,"'const icon = (""",0,0,16,0,0,0,0,0,0
382,11,"'const audio = (""audio"");']",0,0,27,0,0,0,0,0,0
383,12,str_output = [],0,0,15,0,0,0,0,0,0
384,13,for i in range(len(example_list_from_file)):,0,1,44,0,0,0,0,0,0
385,14,"str_output.append(re.sub(r'(?is)=.\(', '= document.querySelector(', example_list_from_file[i]))",0,1,95,1,0,1,0,0,0
386,18,pattern = '',0,0,12,0,0,0,0,0,0
387,19,matched = [],0,0,12,0,0,0,0,0,0
388,20,word_list = [],0,0,14,0,0,0,0,0,0
389,21,"matched = list(filter(re.compile(pattern).match, word_list))",1,0,60,1,0,0,0,0,1
390,26,"find = re.search(pattern, text)",1,0,31,1,0,0,0,0,1
391,0,from inline import Here,0,1,23,0,0,0,0,0,0
392,2,"def __init__(self, declaration: str, check_fail: bool = True):",0,1,62,0,0,0,0,0,0
