line_number,line,isLOI,is_keyword,length,is_regular_expression,is_mathematical_calculation,is_collection_manipulation,is_string_manipulation,is_bit_manipulation,is_variable_assignment
3,from inline import Here,0,1,23,0,0,0,0,0,0
5,MAX_INT = 50,0,0,12,0,0,0,0,0,1
7,class Solution(object):,0,1,23,0,0,0,0,0,0
8,"def divide(self, dividend, divisor):",0,1,36,0,0,0,0,0,0
9,if divisor == 0:,0,1,16,0,0,0,0,0,0
10,return MAX_INT,0,1,14,0,0,0,0,0,0
11,if dividend == 0:,0,1,17,0,0,0,0,0,0
12,return 0,0,1,8,0,0,0,0,0,0
13,isPositive = (dividend < 0) == (divisor < 0),0,0,44,0,0,0,0,0,0
14,print(isPositive),1,0,17,0,0,0,0,0,0
17,m = abs(dividend),0,0,17,0,0,0,0,0,1
18,n = abs(divisor),0,0,16,0,0,0,0,0,1
20,res = math.log(m) - math.log(n),0,0,31,0,1,0,0,0,1
21,res = int(math.exp(res)),0,0,24,0,1,0,0,0,1
22,if isPositive:,0,1,14,0,0,0,0,0,0
23,"return min(res, 2147483647)",0,1,27,0,0,0,0,0,0
24,"return max(0 - res, -2147483648)",0,1,32,0,1,0,0,0,0
26,"Solution.divide(""s"", 5, 3)",0,0,26,0,0,0,0,0,0
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
4,"text = ""This is filler text.""",0,0,29,0,0,0,0,0,1
5,"matches = re.findall(r'\b\w{3}\b' , text)",0,0,41,1,0,0,0,0,1
9,"example_list_from_file = ['const button = (""",0,1,44,0,0,0,0,0,0
10,"'const icon = (""",0,0,16,0,0,0,0,0,1
11,"'const audio = (""audio"");']",0,0,27,0,0,0,0,0,1
12,str_output = [],0,0,15,0,0,0,0,0,1
13,for i in range(len(example_list_from_file)):,0,1,44,0,0,0,0,0,0
14,"str_output.append(re.sub(r'(?is)=.\(', '= document.querySelector(', example_list_from_file[i]))",0,1,95,1,0,1,0,0,0
18,pattern = '',0,0,12,0,0,0,0,0,1
19,matched = [],0,0,12,0,0,0,0,0,1
20,word_list = [],0,0,14,0,0,0,0,0,1
21,"matched = list(filter(re.compile(pattern).match, word_list))",0,0,60,1,0,0,0,0,1
26,"find = re.search(pattern, text)",1,0,31,1,0,0,0,0,1
30,"result = re.split(pattern, text, 1)
",0,0,36,1,0,0,0,0,1
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,def logit_deformatter(string):,0,1,30,0,0,0,1,0,0
3,"r""""""",0,0,4,0,0,0,0,0,0
4,Parser to convert string as r'$\mathdefault{1.41\cdot10^{-4}}$' in,0,1,66,0,1,0,0,1,0
5,"float 1.41e-4, as '0.5' or as r'$\mathdefault{\frac{1}{2}}$' in float",0,1,69,0,1,0,0,0,0
6,"0.5,",0,0,4,0,0,0,0,0,0
7,"""""""",0,0,3,0,0,0,0,0,0
8,match = re.match(,0,0,17,1,0,0,0,0,1
9,"r""[^\d]*""",0,0,9,0,1,0,0,1,0
10,"r""(?P<comp>1[-\N{Minus Sign}])?""",0,0,32,0,1,0,0,0,0
11,"r""(?P<mant>\d*\.?\d*)?""",0,0,23,0,1,0,0,0,0
12,"r""(?:\\cdot)?""",0,0,14,0,0,0,0,0,0
13,"r""(?:10\^\{(?P<expo>[-\N{Minus Sign}]?\d*)})?""",0,0,46,0,1,0,0,1,0
14,"r""[^\d]*$"",",0,0,11,0,1,0,0,1,0
15,"string,",0,0,7,0,0,0,0,0,0
16,),1,0,1,0,0,0,0,0,0
18,if match:,0,1,9,0,0,0,0,0,0
19,"comp = match[""comp""] is not None",0,0,32,0,0,0,0,0,1
20,"mantissa = float(match[""mant""]) if match[""mant""] else 1",0,1,55,0,0,0,0,0,1
21,expo = (,0,0,8,0,0,0,0,0,1
22,"int(match[""expo""].replace(""\N{Minus Sign}"", ""-""))",0,0,49,0,1,0,1,0,0
23,"if match[""expo""] is not None",0,1,28,0,0,0,0,0,0
24,else 0,0,1,6,0,0,0,0,0,0
25,),0,0,1,0,0,0,0,0,0
26,value = mantissa * 10**expo,0,0,27,0,1,0,0,0,1
27,"if match[""mant""] or match[""expo""] is not None:",0,1,46,0,0,0,0,0,0
28,if comp:,0,1,8,0,0,0,0,0,0
29,return 1 - value,0,1,16,0,1,0,0,0,0
30,return value,0,1,12,0,0,0,0,0,0
31,"match = re.match(r""[^\d]*\\frac\{(?P<num>\d+)\}\{(?P<deno>\d+)\}[^\d]*$"", string)",1,0,81,1,1,0,0,1,1
33,if match:,0,1,9,0,0,0,0,0,0
34,"num, deno = float(match[""num""]), float(match[""deno""])",0,0,53,0,0,0,0,0,1
36,"    raise ValueError(""Not formatted by LogitFormatter"")
",0,1,56,0,0,0,1,0,0
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
4,"_curly_re = re.compile(r""(.*?)\{(.+?)\}(.*)"")",0,0,45,1,1,0,0,0,1
7,"def text_to_sequence(text, cleaner_names):",0,1,42,0,0,0,0,0,0
8,"""""""Converts a string of text to a sequence of IDs corresponding to the symbols in the text.",0,0,91,0,0,0,0,0,0
10,The text can optionally have ARPAbet sequences enclosed in curly braces embedded,0,0,80,0,0,0,0,0,0
11,"in it. For example, ""Turn left on {HH AW1 S S T AH0 N} Street.""",0,0,63,0,0,0,0,0,0
13,Args:,0,0,5,0,0,0,0,0,0
14,text: string to convert to a sequence,0,0,37,0,0,0,0,0,0
15,cleaner_names: names of the cleaner functions to run the text through,0,0,69,0,0,0,0,0,0
17,Returns:,0,0,8,0,0,0,0,0,0
18,List of integers corresponding to the symbols in the text,0,0,57,0,0,0,0,0,0
19,"""""""",0,0,3,0,0,0,0,0,0
20,sequence = [],0,0,13,0,0,0,0,0,1
23,while len(text):,0,1,16,0,0,0,0,0,0
24,m = _curly_re.match(text),1,0,25,1,0,0,0,0,1
26,if not m:,0,1,9,0,0,0,0,0,0
27,"sequence += _symbols_to_sequence(_clean_text(text, cleaner_names))",0,0,66,0,1,0,0,0,1
28,break,0,1,5,0,0,0,0,0,0
29,"sequence += _symbols_to_sequence(_clean_text(m.group(1), cleaner_names))",0,0,72,0,1,0,0,0,1
30,sequence += _arpabet_to_sequence(m.group(2)),0,0,44,0,1,0,0,0,1
31,text = m.group(3),0,0,17,0,0,0,0,0,1
35,"    return sequence
",0,1,20,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def _tokenize(data: bytes, skip_ws: bool):",0,1,42,0,0,0,0,0,0
3,"""""""",0,0,3,0,0,0,0,0,0
4,A generator that produces _Token instances from Type-1 font code.,0,1,65,0,1,0,0,0,0
6,The consumer of the generator may send an integer to the tokenizer to,0,0,69,0,0,0,0,0,0
7,indicate that the next token should be _BinaryToken of the given length.,0,0,72,0,0,0,0,0,0
9,Parameters,0,0,10,0,0,0,0,0,0
10,----------,0,0,10,0,1,0,0,0,0
11,data : bytes,0,0,12,0,0,0,0,0,0
12,The data of the font to tokenize.,0,0,33,0,0,0,0,0,0
14,skip_ws : bool,0,0,14,0,0,0,0,0,0
15,"If true, the generator will drop any _WhitespaceTokens from the output.",0,1,71,0,0,0,0,0,0
16,"""""""",0,0,3,0,0,0,0,0,0
17,"text = data.decode('ascii', 'replace')",0,1,38,0,0,0,1,0,1
18,whitespace_or_comment_re = re.compile(r'[\0\t\r\f\n ]+|%[^\r\n]*'),0,0,66,1,1,0,0,1,1
19,"token_re = re.compile(r'/{0,2}[^]\0\t\r\f\n ()<>{}/%[]+')",0,0,57,1,1,0,0,1,1
20,instring_re = re.compile(r'[()\\]'),0,0,35,1,0,0,0,0,1
21,hex_re = re.compile(r'^<[0-9a-fA-F\0\t\r\f\n ]*>$'),0,0,51,1,1,0,0,1,1
22,"oct_re = re.compile(r'[0-7]{1,3}')",0,0,34,1,1,0,0,0,1
23,pos = 0,0,0,7,0,0,0,0,0,1
24,next_binary = None,0,0,18,0,0,0,0,0,1
26,while pos < len(text):,0,1,22,0,0,0,0,0,0
27,if next_binary is not None:,0,1,27,0,0,0,0,0,0
28,n = next_binary,0,0,15,0,0,0,0,0,1
29,"next_binary = (yield _BinaryToken(pos, data[pos:pos+n]))",0,1,56,0,1,0,0,0,1
30,pos += n,0,0,8,0,1,0,0,0,1
31,continue,0,1,8,0,0,0,0,0,0
32,"match = whitespace_or_comment_re.match(text, pos)",1,0,49,1,0,0,0,0,1
34,if match:,0,1,9,0,0,0,0,0,0
35,if not skip_ws:,0,1,15,0,0,0,0,0,0
36,"next_binary = (yield _WhitespaceToken(pos, match.group()))",0,1,58,0,0,0,0,0,1
37,pos = match.end(),0,0,17,0,0,0,0,0,1
38,elif text[pos] == '(':,0,1,22,0,0,0,0,0,0
44,start = pos,0,0,11,0,0,0,0,0,1
45,pos += 1,0,0,8,0,1,0,0,0,1
46,depth = 1,0,0,9,0,0,0,0,0,1
47,while depth:,0,1,12,0,0,0,0,0,0
48,"match = instring_re.search(text, pos)",0,0,37,1,0,0,0,0,1
49,if match is None:,0,1,17,0,0,0,0,0,0
50,raise ValueError(,0,1,17,0,0,0,0,0,0
51,f'Unterminated string starting at {start}'),0,0,43,0,0,0,0,0,0
52,pos = match.end(),0,0,17,0,0,0,0,0,1
53,if match.group() == '(':,0,1,24,0,0,0,0,0,0
54,depth += 1,0,0,10,0,1,0,0,0,1
55,elif match.group() == ')':,0,1,26,0,0,0,0,0,0
56,depth -= 1,0,0,10,0,1,0,0,0,1
57,else:  ,0,1,7,0,0,0,0,0,0
58,char = text[pos],0,0,16,0,0,0,0,0,1
59,if char in r'\()nrtbf':,0,1,23,0,0,0,0,0,0
60,pos += 1,0,0,8,0,1,0,0,0,1
61,else:,0,1,5,0,0,0,0,0,0
62,"octal = oct_re.match(text, pos)",0,0,31,1,0,0,0,0,1
63,if octal:,0,1,9,0,0,0,0,0,0
64,pos = octal.end(),0,0,17,0,0,0,0,0,1
65,else:,0,1,5,0,0,0,0,0,0
66,pass  ,0,1,6,0,0,0,0,0,0
67,"next_binary = (yield _StringToken(start, text[start:pos]))",0,1,58,0,0,0,0,0,1
68,"elif text[pos:pos + 2] in ('<<', '>>'):",0,1,39,0,1,0,0,1,0
69,"next_binary = (yield _DelimiterToken(pos, text[pos:pos + 2]))",0,1,61,0,1,0,0,0,1
70,pos += 2,0,0,8,0,1,0,0,0,1
71,elif text[pos] == '<':,0,1,22,0,0,0,0,0,0
72,start = pos,0,0,11,0,0,0,0,0,1
73,try:,0,1,4,0,0,0,0,0,0
74,"pos = text.index('>', pos) + 1",0,0,30,0,1,0,0,0,1
75,except ValueError as e:,0,1,23,0,0,0,0,0,0
76,raise ValueError(f'Unterminated hex string starting at {start}',0,1,63,0,0,0,0,0,0
77,) from e,0,1,8,0,0,0,0,0,0
78,if not hex_re.match(text[start:pos]):,0,1,37,1,0,0,0,0,0
79,raise ValueError(f'Malformed hex string starting at {start}'),0,1,61,0,0,0,0,0,0
80,"next_binary = (yield _StringToken(pos, text[start:pos]))",0,1,56,0,0,0,0,0,1
81,else:,0,1,5,0,0,0,0,0,0
82,"match = token_re.match(text, pos)",0,0,33,1,0,0,0,0,1
83,if match:,0,1,9,0,0,0,0,0,0
84,raw = match.group(),0,0,19,0,0,0,0,0,1
85,if raw.startswith('/'):,0,1,23,0,1,0,0,0,0
86,"next_binary = (yield _NameToken(pos, raw))",0,1,42,0,0,0,0,0,1
87,"elif match.group() in ('true', 'false'):",0,1,40,0,0,0,0,0,0
88,"next_binary = (yield _BooleanToken(pos, raw))",0,1,45,0,0,0,0,0,1
89,else:,0,1,5,0,0,0,0,0,0
90,try:,0,1,4,0,0,0,0,0,0
91,float(raw),0,0,10,0,0,0,0,0,0
92,"next_binary = (yield _NumberToken(pos, raw))",0,1,44,0,0,0,0,0,1
93,except ValueError:,0,1,18,0,0,0,0,0,0
94,"next_binary = (yield _KeywordToken(pos, raw))",0,1,45,0,0,0,0,0,1
95,pos = match.end(),0,0,17,0,0,0,0,0,1
96,else:,0,1,5,0,0,0,0,0,0
98,                pos += 1,0,0,24,0,1,0,0,0,1
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
4,"text = ""This is filler text.""",0,0,29,0,0,0,0,0,1
5,"matches = re.findall(r'\b\w{3}\b' , text)",0,0,41,1,0,0,0,0,1
9,"example_list_from_file = ['const button = (""",0,1,44,0,0,0,0,0,0
10,"'const icon = (""",0,0,16,0,0,0,0,0,1
11,"'const audio = (""audio"");']",0,0,27,0,0,0,0,0,1
12,str_output = [],0,0,15,0,0,0,0,0,1
13,for i in range(len(example_list_from_file)):,0,1,44,0,0,0,0,0,0
14,"str_output.append(re.sub(r'(?is)=.\(', '= document.querySelector(', example_list_from_file[i]))",0,1,95,1,0,1,0,0,0
18,pattern = '',0,0,12,0,0,0,0,0,1
19,matched = [],0,0,12,0,0,0,0,0,1
20,word_list = [],0,0,14,0,0,0,0,0,1
21,"matched = list(filter(re.compile(pattern).match, word_list))",1,0,60,1,0,0,0,0,1
23,"['aback',",0,0,9,0,0,0,0,0,0
24,"'abase',",0,1,8,0,0,0,0,0,0
25,"'abate',",0,0,8,0,0,0,0,0,0
26,"'abbot',",0,0,8,0,0,0,0,0,0
27,"'abhor',",0,0,8,0,0,0,0,0,0
28,"'abide',",0,0,8,0,0,0,0,0,0
29,"'abled',",0,0,8,0,0,0,0,0,0
30,"'abuse',",0,0,8,0,0,0,0,0,0
31,"'above']).check_eq(matched, ['abase', 'abate', 'abide', 'abuse', 'above'])",0,1,74,0,0,0,0,0,0
35,"find = re.search(pattern, text)",0,0,31,1,0,0,0,0,1
39,"result = re.split(pattern, text, 1)
",0,0,36,1,0,0,0,0,1
5,import sys,0,1,10,0,0,0,0,0,0
6,import re,0,1,9,0,0,0,0,0,0
7,import random,0,1,13,0,0,0,0,0,0
8,from inline import Here,0,1,23,0,0,0,0,0,0
15,input_list = sys.argv[1:],0,0,25,0,0,0,0,0,1
17,for iter in range(10):,0,1,22,0,0,0,0,0,0
18,"word = """"",0,0,9,0,0,0,0,0,1
19,"ans = """"",0,0,8,0,0,0,0,0,1
20,for n in range(5):,0,1,18,0,0,0,0,0,0
22,"ch = chr(97 + random.randint(0, 14))",0,0,36,0,1,0,0,0,1
23,word += ch,0,0,10,0,1,0,0,0,1
26,"if(not(ch in ('a', 'e', 'i', 'o', 'u'))):",0,1,41,0,0,0,0,0,0
27,ans += ch,0,0,9,0,1,0,0,0,1
29,"print(""remove_vowels(\"""" + word + ""\""):"")",0,0,41,0,1,1,0,0,0
30,"print(re.sub(""[aeiou]"", """", word) + ""\n"")",0,0,41,1,1,0,0,0,0
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
3,"text = ""This is a sentence with multiple words and numbers 1234567890.""",0,0,71,0,0,0,0,0,1
6,"result = re.findall(r""[a-zA-Z]"", text)",0,0,38,1,1,0,0,0,1
7,"print(""Letters: "", result)",0,0,26,0,0,0,0,0,0
9,"result = re.findall(r""\d"", text)",0,0,32,1,0,0,0,0,1
10,"print(""Digits: "", result)",0,0,25,0,0,0,0,0,0
13,"result = re.findall(r""\bs\w+"", text)",0,0,36,1,1,0,0,0,1
14,"print(""Words starting with 's': "", result)",0,0,42,0,0,0,0,0,0
17,"result = re.findall(r""\w+e\b"", text)",0,0,36,1,1,0,0,0,1
18,"print(""Words ending with 'e': "", result)",0,0,40,0,0,0,0,0,0
21,"result = re.findall(r""\b\w*o\w*\b"", text)",1,0,41,1,1,0,0,0,1
23,"print(""Words containing 'o': "", result)",0,0,39,0,0,0,0,0,0
26,"result = re.findall(r""\b\w{4}\b"", text)",0,0,39,1,0,0,0,0,1
27,"print(""Words of length 4: "", result)",0,0,36,0,0,0,0,0,0
30,"result = re.sub(r""\s"", ""-"", text)",0,0,33,1,1,0,0,0,1
31,"print(""Text with whitespaces replaced: "", result)",0,0,49,0,0,0,1,0,0
34,"result = re.sub(r""is"", ""was"", text)",0,1,35,1,0,0,0,0,1
35,"print(""Text with 'is' replaced: "", result)",0,0,42,0,0,0,1,0,0
39,"print(""Text split by whitespace: "", result)
",0,0,44,0,0,0,0,0,0
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def get_package_details(self, package):",0,1,39,0,0,0,0,0,0
4,raw_pkg_details = {},0,0,20,0,0,0,0,0,1
5,last_detail = None,0,1,18,0,0,0,0,0,1
6,for line in package.splitlines():,0,1,33,0,0,0,0,0,0
7,"m = re.match(r""([\w ]*[\w]) +: (.*)"", line)",1,0,43,1,1,0,0,0,1
9,if m:,0,1,5,0,0,0,0,0,0
10,last_detail = m.group(1),0,1,24,0,0,0,0,0,1
11,raw_pkg_details[last_detail] = m.group(2),0,1,41,0,0,0,0,0,1
12,else:,0,1,5,0,0,0,0,0,0
14,raw_pkg_details[last_detail] = (,0,1,32,0,0,0,0,0,1
15,"raw_pkg_details[last_detail] + ""  "" + line.lstrip()",0,1,51,0,1,0,0,0,0
16,),0,0,1,0,0,0,0,0,0
18,provides = None,0,0,15,0,0,0,0,0,1
19,"if raw_pkg_details[""Provides""] != ""None"":",0,1,41,0,0,0,0,0,1
20,"provides = [p.split(""="")[0] for p in raw_pkg_details[""Provides""].split(""  "")]",0,1,77,0,0,0,0,0,0
22,return {,0,1,8,0,0,0,0,0,0
23,"""name"": raw_pkg_details[""Name""],",0,0,32,0,0,0,0,0,0
24,"""version"": raw_pkg_details[""Version""],",0,0,38,0,0,0,0,0,0
25,"""arch"": raw_pkg_details[""Architecture""],",0,0,40,0,0,0,0,0,0
27,"    }
",0,0,6,0,0,0,0,0,0
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
4,"text = ""This is filler text.""",0,0,29,0,0,0,0,0,1
5,"matches = re.findall(r'\b\w{3}\b' , text)",0,0,41,1,0,0,0,0,1
9,"example_list_from_file = ['const button = (""",0,1,44,0,0,0,0,0,0
10,"'const icon = (""",0,0,16,0,0,0,0,0,1
11,"'const audio = (""audio"");']",0,0,27,0,0,0,0,0,1
12,str_output = [],0,0,15,0,0,0,0,0,1
13,for i in range(len(example_list_from_file)):,0,1,44,0,0,0,0,0,0
14,"str_output.append(re.sub(r'(?is)=.\(', '= document.querySelector(', example_list_from_file[i]))",0,1,95,1,0,1,0,0,0
18,pattern = '',0,0,12,0,0,0,0,0,1
19,matched = [],0,0,12,0,0,0,0,0,1
20,word_list = [],0,0,14,0,0,0,0,0,1
21,"matched = list(filter(re.compile(pattern).match, word_list))",0,0,60,1,0,0,0,0,1
26,"find = re.search(pattern, text)",0,0,31,1,0,0,0,0,1
0,from inline import Here,0,1,23,0,0,0,0,0,0
2,"def __init__(self, declaration: str, check_fail: bool = True):",0,1,62,0,0,0,0,0,1
3,self.check_fail = check_fail,0,0,28,0,0,0,0,0,1
4,"m = re.match(r""(.+?)\s+(glfw[A-Z][a-zA-Z0-9]+)[(](.+)[)]$"", declaration)",1,0,72,1,1,0,0,0,1
6,if m is None:,0,1,13,0,0,0,0,0,0
7,"raise SystemExit(""Failed to parse "" + repr(declaration))",0,1,56,0,1,0,0,0,0
8,self.restype = m.group(1).strip(),0,0,33,0,0,0,0,0,1
9,self.name = m.group(2),0,0,22,0,0,0,0,0,1
10,"args = m.group(3).strip().split("","")",0,0,36,0,0,0,0,0,1
11,args = [x.strip() for x in args],0,1,32,0,0,0,0,0,1
12,self.args = [],0,0,14,0,0,0,0,0,1
13,for a in args:,0,1,14,0,0,0,0,0,0
14,"if a == ""void"":",0,1,15,0,0,0,0,0,0
15,continue,0,1,8,0,0,0,0,0,0
16,self.args.append(Arg(a)),0,0,24,0,0,1,0,0,0
18,"        self.args = [Arg(""void v"")]
",0,0,36,0,0,0,0,0,1
0,import re,0,1,9,0,0,0,0,0,0
1,from inline import Here,0,1,23,0,0,0,0,0,0
3,"text = ""This is a sentence with multiple words and numbers 1234567890.""",0,0,71,0,0,0,0,0,1
6,"result = re.findall(r""[a-zA-Z]"", text)",0,0,38,1,1,0,0,0,1
7,"print(""Letters: "", result)",0,0,26,0,0,0,0,0,0
9,"result = re.findall(r""\d"", text)",0,0,32,1,0,0,0,0,1
10,"print(""Digits: "", result)",0,0,25,0,0,0,0,0,0
13,"result = re.findall(r""\bs\w+"", text)",0,0,36,1,1,0,0,0,1
